StartDate,EndDate,ResetDate,PaymentDate
1/4/2026,7/5/2026,12/31/2025,7/5/2026
7/5/2026,1/4/2027,7/1/2026,1/4/2027
1/4/2027,7/4/2027,12/31/2026,7/4/2027
7/4/2027,1/4/2028,6/30/2027,1/4/2028
1/4/2028,7/4/2028,1/2/2028,7/4/2028
7/4/2028,1/4/2029,7/2/2028,1/4/2029
1/4/2029,7/4/2029,1/2/2029,7/4/2029
7/4/2029,1/6/2030,7/2/2029,1/6/2030
1/6/2030,7/4/2030,1/2/2030,7/4/2030
7/4/2030,1/5/2031,7/2/2030,1/5/2031
1/5/2031,7/6/2031,1/1/2031,7/6/2031
7/6/2031,1/4/2032,7/2/2031,1/4/2032
1/4/2032,7/4/2032,12/31/2031,7/4/2032
7/4/2032,1/4/2033,6/30/2032,1/4/2033
1/4/2033,7/4/2033,1/2/2033,7/4/2033
7/4/2033,1/4/2034,6/30/2033,1/4/2034
1/4/2034,7/4/2034,1/2/2034,7/4/2034
7/4/2034,1/4/2035,7/2/2034,1/4/2035
1/4/2035,7/4/2035,1/2/2035,7/4/2035
7/4/2035,1/6/2036,7/2/2035,1/6/2036
1/6/2036,7/6/2036,1/2/2036,7/6/2036
7/6/2036,1/4/2037,7/2/2036,1/4/2037
1/4/2037,7/5/2037,12/31/2036,7/5/2037
7/5/2037,1/4/2038,7/1/2037,1/4/2038
1/4/2038,7/4/2038,12/31/2037,7/4/2038
7/4/2038,1/4/2039,6/30/2038,1/4/2039
